인허가연월,폐업,영업
197811,1,0
197812,0,1
197901,3,0
197902,4,2
197903,7,3
197904,4,0
197905,3,3
197906,5,0
197907,3,1
197908,2,0
197909,3,3
197910,4,0
197911,4,2
197912,6,1
198001,5,0
198002,8,3
198003,9,5
198004,7,0
198005,9,5
198006,2,1
198007,6,0
198008,5,2
198009,6,3
198010,5,1
198011,7,1
198012,14,4
198101,5,1
198102,12,4
198103,18,10
198104,11,2
198105,3,3
198106,4,2
198107,7,1
198108,5,1
198109,9,2
198110,6,2
198111,6,0
198112,3,1
198201,5,1
198202,11,2
198203,14,7
198204,14,3
198205,9,2
198206,2,1
198207,2,0
198208,0,2
198209,5,0
198210,4,2
198211,2,2
198212,1,0
198301,3,2
198302,10,2
198303,13,4
198304,6,3
198305,8,1
198306,6,1
198307,11,2
198308,4,3
198309,6,1
198310,7,3
198311,6,0
198312,12,3
198401,3,2
198402,13,1
198403,13,5
198404,7,1
198405,17,8
198406,6,4
198407,6,1
198408,5,1
198409,8,2
198410,3,0
198411,7,0
198412,13,2
198501,5,2
198502,19,4
198503,14,4
198504,9,4
198505,6,3
198506,9,1
198507,6,4
198508,6,8
198509,22,1
198510,13,1
198511,13,0
198512,10,2
198601,6,0
198602,19,4
198603,29,12
198604,19,7
198605,17,5
198606,10,3
198607,8,2
198608,4,0
198609,11,0
198610,6,4
198611,7,4
198612,7,1
198701,9,2
198702,16,0
198703,20,3
198704,17,3
198705,9,1
198706,14,1
198707,8,3
198708,7,2
198709,11,1
198710,14,1
198711,14,3
198712,10,1
198801,10,1
198802,18,3
198803,22,3
198804,22,1
198805,17,4
198806,12,2
198807,10,3
198808,14,3
198809,14,4
198810,13,3
198811,18,2
198812,21,5
198901,12,2
198902,18,4
198903,32,4
198904,20,2
198905,21,3
198906,16,3
198907,6,5
198908,8,1
198909,11,0
198910,14,5
198911,24,9
198912,18,4
199001,12,3
199002,15,8
199003,46,11
199004,38,7
199005,33,8
199006,28,7
199007,16,2
199008,16,9
199009,11,6
199010,22,2
199011,21,5
199012,40,6
199101,26,5
199102,36,8
199103,55,9
199104,41,8
199105,42,9
199106,40,3
199107,27,19
199108,20,6
199109,25,4
199110,20,11
199111,30,10
199112,33,9
199201,40,8
199202,58,13
199203,76,13
199204,48,9
199205,42,6
199206,34,6
199207,32,10
199208,14,3
199209,25,8
199210,34,12
199211,29,8
199212,25,6
199301,22,5
199302,46,11
199303,68,11
199304,49,5
199305,39,7
199306,29,3
199307,63,13
199308,33,4
199309,36,6
199310,40,5
199311,47,14
199312,53,6
199401,35,8
199402,83,6
199403,111,25
199404,69,19
199405,67,14
199406,71,17
199407,55,5
199408,27,6
199409,41,12
199410,55,13
199411,69,13
199412,85,17
199501,68,13
199502,117,23
199503,134,29
199504,95,19
199505,87,20
199506,74,19
199507,56,10
199508,51,9
199509,65,13
199510,69,17
199511,55,9
199512,81,23
199601,60,12
199602,89,17
199603,126,25
199604,106,18
199605,107,17
199606,63,14
199607,76,19
199608,41,8
199609,57,10
199610,65,17
199611,89,12
199612,85,15
199701,66,10
199702,84,18
199703,118,26
199704,97,15
199705,50,19
199706,79,18
199707,52,14
199708,51,13
199709,62,10
199710,55,10
199711,49,21
199712,71,20
199801,52,5
199802,86,19
199803,87,19
199804,106,27
199805,79,12
199806,65,19
199807,92,20
199808,63,10
199809,63,13
199810,51,11
199811,79,13
199812,84,21
199901,59,14
199902,99,21
199903,127,30
199904,101,26
199905,75,22
199906,98,16
199907,70,15
199908,72,13
199909,58,13
199910,78,12
199911,76,20
199912,64,20
200001,73,20
200002,88,29
200003,91,36
200004,78,22
200005,78,19
200006,86,17
200007,56,13
200008,59,11
200009,52,18
200010,55,24
200011,77,30
200012,80,26
200101,58,6
200102,82,25
200103,95,43
200104,74,22
200105,90,28
200106,95,15
200107,60,22
200108,90,16
200109,79,23
200110,71,31
200111,52,19
200112,73,25
200201,74,29
200202,76,32
200203,117,32
200204,95,33
200205,94,34
200206,105,28
200207,105,24
200208,34,17
200209,57,19
200210,63,30
200211,66,28
200212,53,24
200301,38,13
200302,80,23
200303,112,51
200304,82,37
200305,66,34
200306,102,26
200307,95,24
200308,54,28
200309,54,26
200310,75,34
200311,54,14
200312,60,32
200401,45,12
200402,66,24
200403,101,46
200404,74,35
200405,79,26
200406,103,17
200407,128,34
200408,46,22
200409,68,21
200410,62,30
200411,54,23
200412,47,20
200501,55,20
200502,50,30
200503,91,36
200504,63,36
200505,73,29
200506,112,26
200507,113,27
200508,58,22
200509,62,25
200510,45,22
200511,70,24
200512,49,36
200601,53,21
200602,54,33
200603,93,36
200604,65,18
200605,61,28
200606,71,29
200607,106,28
200608,58,20
200609,60,31
200610,38,25
200611,45,36
200612,36,18
200701,39,23
200702,45,27
200703,63,41
200704,71,38
200705,43,41
200706,85,34
200707,105,25
200708,49,24
200709,33,24
200710,58,42
200711,42,34
200712,47,19
200801,35,31
200802,35,35
200803,50,37
200804,48,44
200805,54,35
200806,71,37
200807,96,34
200808,40,25
200809,31,35
200810,41,43
200811,41,30
200812,51,27
200901,25,16
200902,36,35
200903,58,32
200904,66,30
200905,36,29
200906,85,35
200907,84,45
200908,33,21
200909,48,27
200910,36,26
200911,38,27
200912,35,23
201001,31,16
201002,32,31
201003,55,43
201004,66,44
201005,69,31
201006,77,45
201007,80,39
201008,39,28
201009,34,36
201010,44,35
201011,43,39
201012,49,32
201101,33,27
201102,40,28
201103,51,59
201104,49,47
201105,54,47
201106,66,46
201107,84,49
201108,39,29
201109,39,37
201110,36,49
201111,33,35
201112,50,52
201201,31,33
201202,51,43
201203,66,50
201204,48,43
201205,51,58
201206,91,63
201207,69,51
201208,41,47
201209,41,39
201210,44,54
201211,35,43
201212,30,47
201301,36,32
201302,42,44
201303,58,57
201304,55,76
201305,67,54
201306,72,56
201307,70,66
201308,55,49
201309,35,40
201310,43,72
201311,52,61
201312,54,73
201401,41,45
201402,55,55
201403,59,80
201404,91,102
201405,62,100
201406,86,68
201407,99,89
201408,52,57
201409,56,80
201410,67,67
201411,65,75
201412,61,91
201501,48,60
201502,49,66
201503,67,80
201504,62,111
201505,60,96
201506,91,108
201507,86,100
201508,56,85
201509,46,69
201510,59,87
201511,53,82
201512,53,95
201601,40,54
201602,46,73
201603,72,128
201604,60,106
201605,82,128
201606,112,116
201607,97,125
201608,59,105
201609,52,97
201610,57,95
201611,61,119
201612,45,118
201701,39,99
201702,63,98
201703,85,159
201704,89,143
201705,71,156
201706,93,136
201707,84,136
201708,74,148
201709,67,114
201710,54,100
201711,58,130
201712,54,143
201801,43,101
201802,35,115
201803,60,122
201804,78,177
201805,82,175
201806,75,144
201807,75,168
201808,44,138
201809,29,116
201810,52,159
201811,46,124
201812,41,124
201901,36,131
201902,42,136
201903,71,162
201904,55,214
201905,51,206
201906,56,189
201907,46,210
201908,36,142
201909,27,134
201910,30,162
201911,26,175
201912,23,186
202001,15,150
202002,14,131
202003,28,162
202004,19,161
202005,17,151
202006,20,207
202007,23,218
202008,10,140
202009,10,157
202010,14,174
202011,8,180
202012,5,214
202101,8,146
202102,6,168
202103,3,209
202104,10,260
202105,3,199
202106,2,238
