업소명,소재지,영업장면적,전화번호,업태명,데이터기준일자
뜰채1호점,제주특별자치도 제주시 조천읍 조함해안로 538,168.22,064-784-9044,횟집,2021-02-23
마니주,제주특별자치도 제주시 애월읍 광령2길 102,422.22,064-743-0721,횟집,2021-02-23
마라톤,제주특별자치도 제주시 서광로 174 ,23.87,,횟집,2021-02-23
마린수산회센타,제주특별자치도 제주시 동문로2길 10,32.27,,횟집,2021-02-23
막둥이횟집,제주특별자치도 제주시 원노형6길 12-3 ,64.14,,횟집,2021-02-23
만남의횟집상봉,제주특별자치도 제주시 설촌로12길 24 ,62.9,064-702-6313,횟집,2021-02-23
만선바다,제주특별자치도 제주시 삼무로1길 6,176.35,064-742-6300,횟집,2021-02-23
만원애횟집,제주특별자치도 제주시 서사로11길 2 ,95,064-758-7337,횟집,2021-02-23
맛있는바다,제주특별자치도 제주시 만덕로 31 ,62.6,064-702-4403,횟집,2021-02-23
매코미호프,제주특별자치도 제주시 정존7길 37 ,34.62,064-744-9234,횟집,2021-02-23
멍텅구리24시,제주특별자치도 제주시 도남로 31-1 ,31,064-726-2429,횟집,2021-02-23
명가일식,제주특별자치도 제주시 만덕로6길 34 ,156.98,064-725-4333,횟집,2021-02-23
명선회식당,제주특별자치도 제주시 한림읍 수원1길 4,129.6,064-796-3763,횟집,2021-02-23
명품사조참치,제주특별자치도 제주시 정존15길 33 ,144.72,,횟집,2021-02-23
모살물,제주특별자치도 제주시 삼무로3길 14 ,33,,횟집,2021-02-23
문경회센터,제주특별자치도 제주시 인다7길 10,193.98,064-724-1002,횟집,2021-02-23
문섬,제주특별자치도 제주시 원노형로 45,80.78,064-747-1760,횟집,2021-02-23
미도횟집,제주특별자치도 제주시 관덕로14길 12,14,064-722-7313,횟집,2021-02-23
바다길횟집,제주특별자치도 제주시 서해안로 224 ,181.5,064-745-7654,횟집,2021-02-23
바다어사또,제주특별자치도 제주시 조천읍 조함해안로 478,170.56,064-784-4455,횟집,2021-02-23
바다의향기,제주특별자치도 제주시 도두항서길 71 ,255.64,064-713-6006,횟집,2021-02-23
바다이야기,제주특별자치도 제주시 한림읍 한림로 491,180.57,,횟집,2021-02-23
바다풍경,제주특별자치도 제주시 서해안로 654 ,397.01,064-711-7992,횟집,2021-02-23
바닷가식당,제주특별자치도 제주시 서부두길 10-4,138.21,,횟집,2021-02-23
바당모살,제주특별자치도 제주시 조천읍 함덕로 20,119.25,,횟집,2021-02-23
백선,제주특별자치도 제주시 도남로 10 ,27.84,064-751-0033,횟집,2021-02-23
뱃사공,제주특별자치도 제주시 진동로 36 ,54.83,064-756-4782,횟집,2021-02-23
별방촌,제주특별자치도 제주시 구좌읍 해맞이해안로 1480,119.16,064-783-1907,횟집,2021-02-23
보람수산,제주특별자치도 제주시 신성로 60 ,42.81,064-724-4487,횟집,2021-02-23
보말명가,제주특별자치도 제주시 흥운길 77 ,77.38,064-744-8885,횟집,2021-02-23
보물선,제주특별자치도 제주시 동한두기길 27 ,37.5,064-723-1204,횟집,2021-02-23
복희해장국,제주특별자치도 제주시 임항로 29 ,66,,횟집,2021-02-23
봉덕뜨락금능점,제주특별자치도 제주시 한림읍 한림로 121-3,108.23,064-796-1008,횟집,2021-02-23
사형제,제주특별자치도 제주시 한림읍 한림상로 273,286.75,064-796-8709,횟집,2021-02-23
살랑살랑샤브,제주특별자치도 제주시 서해안로 612,185.64,,횟집,2021-02-23
삼공주회센터,제주특별자치도 제주시 진동로 74-6,79.4,,횟집,2021-02-23
삼미횟집제주공항점,제주특별자치도 제주시 도두항서5길 1 ,798.42,064-742-8820,횟집,2021-02-23
삼번지,제주특별자치도 제주시 서해안로 350 ,53.48,064-711-6373,횟집,2021-02-23
삼오칠회센타,제주특별자치도 제주시 신대로16길 33 ,79.2,,횟집,2021-02-23
삼치회사랑,제주특별자치도 제주시 연삼로 355,52.8,064-759-6777,횟집,2021-02-23
삼화포구,제주특별자치도 제주시 서흘1길 26 ,78.29,,횟집,2021-02-23
새힘회센타,제주특별자치도 제주시 중앙로1길 6 ,34.1,064-722-1242,횟집,2021-02-23
서부두한라,제주특별자치도 제주시 서부두길 8 ,102,,횟집,2021-02-23
선명,제주특별자치도 제주시 서해안로 464,175.27,064-712-3666,횟집,2021-02-23
섬나라최감독,제주특별자치도 제주시 구좌읍 해맞이해안로 1404,88.42,064-783-1320,횟집,2021-02-23
섬집,제주특별자치도 제주시 도남로 20-1 ,40.42,064-755-2257,횟집,2021-02-23
섬횟집,제주특별자치도 제주시 서해안로 242,329.77,064-742-2929,횟집,2021-02-23
성안식당,제주특별자치도 제주시 한경면 고산로 24,23.13,,횟집,2021-02-23
소담한봉봉,제주특별자치도 제주시 신설로9길 20,66,,횟집,2021-02-23
소라,제주특별자치도 제주시 서부두길 18-2,114.8,064-758-9273,횟집,2021-02-23
소라횟집,제주특별자치도 제주시 구좌읍 해맞이해안로 1240-3,146.7,064-784-3545,횟집,2021-02-23
수빈이네,제주특별자치도 제주시 테우해안로 146 ,97.61,064-742-6936,횟집,2021-02-23
수정횟집,제주특별자치도 제주시 삼성로 47 ,152.55,064-751-2292,횟집,2021-02-23
숨비소리,제주특별자치도 제주시 서해안로 283 ,228.88,064-742-8988,횟집,2021-02-23
스시사카나,제주특별자치도 제주시 선사로8길 12,79.51,,횟집,2021-02-23
승범이네집,제주특별자치도 제주시 월랑로 56-1 ,129,,횟집,2021-02-23
신등대민박수산회센타,제주특별자치도 제주시 추자면 추자로 12,80.84,064-742-3868,횟집,2021-02-23
신부산아나고,제주특별자치도 제주시 관덕로11길 34-1 ,95,,횟집,2021-02-23
신세계회센타,제주특별자치도 제주시 서문로6길 4-7,23.14,,횟집,2021-02-23
신제일,제주특별자치도 제주시 탑동로 39 ,257,064-753-6600,횟집,2021-02-23
신토불이수산,제주특별자치도 제주시 정존5길 3 ,50.74,064-748-3346,횟집,2021-02-23
싱싱회센타,제주특별자치도 제주시 동문로4길 9,36.3,064-702-8838,횟집,2021-02-23
싸다회포차,제주특별자치도 제주시 구남로2길 11,124.96,064-756-1245,횟집,2021-02-23
아란치오,제주특별자치도 제주시 서해안로 234,138.85,,횟집,2021-02-23
아싸라비어,제주특별자치도 제주시 원노형로 7 ,36.2,,횟집,2021-02-23
아싸살아있네,제주특별자치도 제주시 신대로16길 32-1,174.92,064-748-9000,횟집,2021-02-23
아싸회,제주특별자치도 제주시 연동11길 36 ,46.86,,횟집,2021-02-23
아침바다,제주특별자치도 제주시 수덕5길 66,121.6,,횟집,2021-02-23
애월해송수산물회센타,제주특별자치도 제주시 애월읍 애월로11길 23,178.9,,횟집,2021-02-23
애월회센터,제주특별자치도 제주시 애월읍 신엄9길 72-11,129.47,064-712-5540,횟집,2021-02-23
어림향,제주특별자치도 제주시 서사로24길 22,91.33,064-727-7999,횟집,2021-02-23
어상,제주특별자치도 제주시 수덕9길 82-7,73.56,,횟집,2021-02-23
어신,제주특별자치도 제주시 신대로12길 39 ,57.28,064-745-1959,횟집,2021-02-23
어애랑,제주특별자치도 제주시 한림읍 한림로 422 ,59.04,064-796-9253,횟집,2021-02-23
어영해녀촌원,제주특별자치도 제주시 월성로 18,455.85,064-743-9700,횟집,2021-02-23
어촌,제주특별자치도 제주시 신성로 63 ,57.12,064-752-7474,횟집,2021-02-23
엄지횟집,제주특별자치도 제주시 월랑로12길 11,93.47,064-745-6666,횟집,2021-02-23
엉덩물,제주특별자치도 제주시 성두길 7-7 ,68.04,064-748-8885,횟집,2021-02-23
여여락토속음식점,제주특별자치도 제주시 중앙로8길 1 ,103.9,,횟집,2021-02-23
여자만이네,제주특별자치도 제주시 탑동로 27 ,121,064-752-9252,횟집,2021-02-23
연대토종닭,제주특별자치도 제주시 연대마을길 11-4,45.82,064-742-3156,횟집,2021-02-23
연동마라도,제주특별자치도 제주시 신광로8길 3 ,64,064-746-2286,횟집,2021-02-23
연미정,제주특별자치도 제주시 구좌읍 세평항로 14,150.41,064-784-8856,횟집,2021-02-23
영천횟집,제주특별자치도 제주시 서부두길 22,165.84,064-752-4285,횟집,2021-02-23
예향정제주,제주특별자치도 제주시 신설로11길 2-9,135.73,064-746-3112,횟집,2021-02-23
오늘도회는뜬다1호점,제주특별자치도 제주시 조천읍 함덕13길 1-1,97.6,064-783-6636,횟집,2021-02-23
오라버니회센타,제주특별자치도 제주시 연동11길 36,25.2,064-745-4543,횟집,2021-02-23
오룡수산회센타,제주특별자치도 제주시 도근내길 20 ,64.97,,횟집,2021-02-23
오션,제주특별자치도 제주시 흥운길 81 ,59,064-747-6171,횟집,2021-02-23
옥수사,제주특별자치도 제주시 임항로 18 ,29.12,064-752-2088,횟집,2021-02-23
올래어촌,제주특별자치도 제주시 테우해안로 166 ,188.11,064-711-2992,횟집,2021-02-23
옹포횟집,제주특별자치도 제주시 한림읍 옹포2길 10,208.43,,횟집,2021-02-23
용두바당,제주특별자치도 제주시 용담로5길 25,151.2,,횟집,2021-02-23
용연,제주특별자치도 제주시 동한두기길 35 ,96.16,064-751-8686,횟집,2021-02-23
용운횟집,제주특별자치도 제주시 흥운길 91 ,166.4,064-711-6171,횟집,2021-02-23
용출,제주특별자치도 제주시 서해안로 660 ,69.4,064-742-9244,횟집,2021-02-23
우도동굴도남점,제주특별자치도 제주시 도남로 6 ,73.91,064-756-0423,횟집,2021-02-23
우도자연,제주특별자치도 제주시 우도면 우도해안길 602,250,064-784-9911,횟집,2021-02-23
우도향,제주특별자치도 제주시 우도면 우도해안길 848,99,064-783-7615,횟집,2021-02-23
우리회수산,제주특별자치도 제주시 동문로2길 10,66.1,064-782-4282,횟집,2021-02-23
우정횟집,제주특별자치도 제주시 서부두길 16 ,245,064-757-4202,횟집,2021-02-23
우현,제주특별자치도 제주시 서해안로 660,48.19,064-747-4375,횟집,2021-02-23
유달산,제주특별자치도 제주시 중앙로1길 16 ,73.6,064-758-2962,횟집,2021-02-23
유명야시장,제주특별자치도 제주시 서부두길 6 ,109,064-758-9202,횟집,2021-02-23
윤과장포차,제주특별자치도 제주시 신성로 68 ,80.72,064-721-8929,횟집,2021-02-23
은성,제주특별자치도 제주시 동한두기길 35-1 ,235.04,064-722-5997,횟집,2021-02-23
이만석군횟집,제주특별자치도 제주시 도두항서길 26 ,330.8,064-742-8484,횟집,2021-02-23
이스트블루,제주특별자치도 제주시 서해안로 560 ,59.84,064-711-6754,횟집,2021-02-23
이십사시회센타,제주특별자치도 제주시 전농로 39-3 ,71.7,,횟집,2021-02-23
이어도횟집,제주특별자치도 제주시 서해안로 660,165.83,064-747-1315,횟집,2021-02-23
이호,제주특별자치도 제주시 테우해안로 174 ,68,,횟집,2021-02-23
이호해변,제주특별자치도 제주시 테우해안로 176 ,45.72,064-743-6436,횟집,2021-02-23
일도회센타,제주특별자치도 제주시 천수로8길 6 ,105.4,064-753-5362,횟집,2021-02-23
일미도,제주특별자치도 제주시 구좌읍 면수길 52-1,121.63,064-784-1788,횟집,2021-02-23
일출바당,제주특별자치도 제주시 남광북3길 14 ,63.24,,횟집,2021-02-23
자구내,제주특별자치도 제주시 삼무로3길 18 ,64.92,064-744-6780,횟집,2021-02-23
재현이네갈비,제주특별자치도 제주시 선덕로 7 ,112.97,064-712-8856,횟집,2021-02-23
전주횟집,제주특별자치도 제주시 서해안로 546,106.78,064-712-1189,횟집,2021-02-23
정포차,제주특별자치도 제주시 도남로15길 3 ,36.3,064-755-1130,횟집,2021-02-23
제주깊은바당,제주특별자치도 제주시 도두항서길 15 ,262.5,064-743-7523,횟집,2021-02-23
제주노량진회센타,제주특별자치도 제주시 탑동로 33 ,150.92,064-726-7766,횟집,2021-02-23
제주대게회타운,제주특별자치도 제주시 서해안로 638 ,631.71,064-747-9289,횟집,2021-02-23
제주동복해녀식당,제주특별자치도 제주시 구좌읍 동복로 5,120,064-783-4158,횟집,2021-02-23
제주만석,제주특별자치도 제주시 남성로 46-1,26.4,064-751-3737,횟집,2021-02-23
제주맛동산칼국수,제주특별자치도 제주시 신대로9길 19 ,104.08,064-747-3354,횟집,2021-02-23
제주바다다,제주특별자치도 제주시 애월읍 애월해안로 592,512.16,064-743-3334,횟집,2021-02-23
제주바닷가의나루터,제주특별자치도 제주시 서해안로 634 ,147.24,064-722-5005,횟집,2021-02-23
제주삼다도횟집1호점,제주특별자치도 제주시 서해안로 568 ,57.42,064-744-8881,횟집,2021-02-23
제주서문수산,제주특별자치도 제주시 서문로4길 13-2,11.9,,횟집,2021-02-23
제주앞바다횟집,제주특별자치도 제주시 동한두기길 29,127.99,,횟집,2021-02-23
제주오면돼지,제주특별자치도 제주시 서해안로 560 ,57.42,064-742-9982,횟집,2021-02-23
제주용담수산,제주특별자치도 제주시 서문로 24-1 ,23.4,064-724-7775,횟집,2021-02-23
조개마당,제주특별자치도 제주시 제원길 8,70.3,064-711-3892,횟집,2021-02-23
조박사,제주특별자치도 제주시 다랑곶길 10 ,110,064-746-8668,횟집,2021-02-23
조은날,제주특별자치도 제주시 월랑로4길 39 ,46.07,,횟집,2021-02-23
종달해녀의집,제주특별자치도 제주시 구좌읍 해맞이해안로 2276,175.94,,횟집,2021-02-23
주식회사수평선제주,제주특별자치도 제주시 서부두길 18,81.89,064-752-7746,횟집,2021-02-23
주왕,제주특별자치도 제주시 수덕9길 86-4 ,64.7,064-712-5744,횟집,2021-02-23
지중해참치,제주특별자치도 제주시 월랑로 13 ,81.19,064-747-3735,횟집,2021-02-23
진고등어쌈밥,제주특별자치도 제주시 서해안로 348 ,53.48,064-747-3545,횟집,2021-02-23
진우네국밥,제주특별자치도 제주시 남성로 24 ,79.95,064-756-0118,횟집,2021-02-23
진행수산,제주특별자치도 제주시 신성로7길 20 ,137.5,064-722-5561,횟집,2021-02-23
쨍하고회뜰날,제주특별자치도 제주시 신광로10길 18 ,94.29,064-712-2365,횟집,2021-02-23
쪼끌락,제주특별자치도 제주시 구좌읍 김녕로21길 21,153.84,064-783-3436,횟집,2021-02-23
쭈이빵,제주특별자치도 제주시 연동7길 42 ,93.26,064-745-8888,횟집,2021-02-23
천궁,제주특별자치도 제주시 서부두길 26 ,110.56,064-756-4560,횟집,2021-02-23
청미락횟집,제주특별자치도 제주시 서사로 111 ,113.19,064-725-1717,횟집,2021-02-23
청어람,제주특별자치도 제주시 가령골2길 23 ,109.67,064-724-6778,횟집,2021-02-23
청파식당횟집,제주특별자치도 제주시 구좌읍 세평항로 12,97,,횟집,2021-02-23
청해야제주공항점,제주특별자치도 제주시 서해안로 646 ,330.4,064-722-4585,횟집,2021-02-23
초가장,제주특별자치도 제주시 서부두길 16 ,227,064-758-1333,횟집,2021-02-23
추자본섬연동점,제주특별자치도 제주시 선덕로 14-1 ,99.73,064-747-1115,횟집,2021-02-23
추자섬바당,제주특별자치도 제주시 구남동8길 29 ,74.82,064-702-5292,횟집,2021-02-23
추자수협회센타,제주특별자치도 제주시 추자면 추자로 1 ,50.4,064-742-8192,횟집,2021-02-23
카훼리,제주특별자치도 제주시 서해안로 568,57.42,064-743-6664,횟집,2021-02-23
탐라는집,제주특별자치도 제주시 도공로 16,132.71,064-723-5564,횟집,2021-02-23
탐라옵데강,제주특별자치도 제주시 관덕로 64,133,,횟집,2021-02-23
태하횟집,제주특별자치도 제주시 동한두기길 31-2,177.66,,횟집,2021-02-23
테우,제주특별자치도 제주시 조천읍 조함해안로 418,97.15,,횟집,2021-02-23
투망,제주특별자치도 제주시 도두항서길 69-1,387.72,064-711-7815,횟집,2021-02-23
파랑도,제주특별자치도 제주시 서해안로 658 ,56.31,064-742-8883,횟집,2021-02-23
푸른바당횟집,제주특별자치도 제주시 서해안로 476 ,32.4,064-742-2843,횟집,2021-02-23
풍어,제주특별자치도 제주시 연수중길 15 ,65.33,064-727-0401,횟집,2021-02-23
하꼬네,제주특별자치도 제주시 신성로10길 5,99.49,,횟집,2021-02-23
한라회센타,제주특별자치도 제주시 연삼로 540 ,222.54,064-724-6694,횟집,2021-02-23
한일반점,제주특별자치도 제주시 정존3길 1 ,96.57,064-744-3649,횟집,2021-02-23
한푼리회포차,제주특별자치도 제주시 광양14길 18,110.38,064-721-2231,횟집,2021-02-23
함덕대박횟집,제주특별자치도 제주시 조천읍 조함해안로 441,199.35,064-782-6113,횟집,2021-02-23
항아리뚜껑,제주특별자치도 제주시 동한두기길 39,79.84,064-758-6941,횟집,2021-02-23
해경,제주특별자치도 제주시 서해안로 456-4 ,65.12,064-711-9669,횟집,2021-02-23
해금강,제주특별자치도 제주시 서부두길 28 ,97.4,064-753-3653,횟집,2021-02-23
해녀,제주특별자치도 제주시 탑동로 35 ,79.2,064-724-6212,횟집,2021-02-23
해녀바당,제주특별자치도 제주시 삼무로 11-1 ,44.16,064-745-8850,횟집,2021-02-23
해녀잠수촌,제주특별자치도 제주시 서해안로 498,475.05,064-743-0733,횟집,2021-02-23
해녀할망국수,제주특별자치도 제주시 탑동로 31-1 ,33,064-726-1381,횟집,2021-02-23
해다미,제주특별자치도 제주시 서해안로 660,66.02,064-742-3319,횟집,2021-02-23
해담은,제주특별자치도 제주시 남광북1길 41,74.32,064-756-5673,횟집,2021-02-23
해도횟집본점,제주특별자치도 제주시 인다9길 16,105.1,064-723-7744,횟집,2021-02-23
해변,제주특별자치도 제주시 애월읍 애월해안로 90,48.96,064-799-7710,횟집,2021-02-23
해변풍경횟집,제주특별자치도 제주시 서해안로 472 ,46,064-711-1395,횟집,2021-02-23
해선,제주특별자치도 제주시 서부두길 26 ,191.58,064-756-3988,횟집,2021-02-23
해양호,제주특별자치도 제주시 일주서로 7620 ,66.59,064-743-2706,횟집,2021-02-23
해연,제주특별자치도 제주시 흥운길 83 ,272.03,064-711-9730,횟집,2021-02-23
해와달그리고섬,제주특별자치도 제주시 우도면 우도해안길 946,86.36,064-784-0941,횟집,2021-02-23
해원,제주특별자치도 제주시 서해안로 687-6,548.97,064-711-2552,횟집,2021-02-23
해원초가집,제주특별자치도 제주시 서해안로 687-6 ,31.54,064-744-2552,횟집,2021-02-23
해자원,제주특별자치도 제주시 원남6길 26,130,064-744-3936,횟집,2021-02-23
해진횟집,제주특별자치도 제주시 서부두길 26 ,252.08,064-722-4584,횟집,2021-02-23
해찬,제주특별자치도 제주시 금산5길 30-10,220.5,064-722-8684,횟집,2021-02-23
해청수산,제주특별자치도 제주시 우정로13길 3,109.04,,횟집,2021-02-23
협재해녀의집,제주특별자치도 제주시 한림읍 협재3길 19,58.14,,횟집,2021-02-23
화북손칼국수,제주특별자치도 제주시 진남로8길 1,63.22,064-702-3298,횟집,2021-02-23
화북황금수산,제주특별자치도 제주시 화북일동 4216-3,53.36,064-725-3660,횟집,2021-02-23
화진전복,제주특별자치도 제주시 무근성길 2,95.04,064-752-2280,횟집,2021-02-23
회만원,제주특별자치도 제주시 동광로6길 21,59.4,,횟집,2021-02-23
후니참치,제주특별자치도 제주시 노연로 39 ,158.02,064-748-8887,횟집,2021-02-23
훈남횟집,제주특별자치도 제주시 조천읍 함덕13길 7,100.24,064-783-0083,횟집,2021-02-23
17번가,제주특별자치도 제주시 애월읍 항몽로 17,95.72,064-713-5991,호프/통닭,2021-02-23
1943제주시청점,제주특별자치도 제주시 광양8길 7,173.53,064-723-3865,호프/통닭,2021-02-23
24케이,제주특별자치도 제주시 광양8길 7,137.86,064-721-0808,호프/통닭,2021-02-23
2에프(2F),제주특별자치도 제주시 광양8길 2,151.09,,호프/통닭,2021-02-23
60계치킨제주삼화지구점,제주특별자치도 제주시 화삼로 11,56.7,064-753-0858,호프/통닭,2021-02-23
79대포제주시청점,제주특별자치도 제주시 광양10길 3,104.9,064-753-0522,호프/통닭,2021-02-23
815광복상회,제주특별자치도 제주시 동광로 88 ,40.5,064-752-3621,호프/통닭,2021-02-23
가르텐노형점,제주특별자치도 제주시 월랑로10길 2 ,167.87,,호프/통닭,2021-02-23
가리포차,제주특별자치도 제주시 서광로32길 23 ,66,,호프/통닭,2021-02-23
가마치통닭애월점,제주특별자치도 제주시 애월읍 고내로11길 30,70,064-799-8294,호프/통닭,2021-02-23
가보면호프,제주특별자치도 제주시 흥운길 1 ,20.87,064-743-1464,호프/통닭,2021-02-23
가완,제주특별자치도 제주시 신대로7길 20,89.62,,호프/통닭,2021-02-23
간또,제주특별자치도 제주시 연동7길 19,29.89,064-744-2374,호프/통닭,2021-02-23
간또일도점,제주특별자치도 제주시 고마로 145-1,101,064-757-0142,호프/통닭,2021-02-23
간이역법원점,제주특별자치도 제주시 남광북3길 30 ,49.44,064-702-3254,호프/통닭,2021-02-23
간이역삼도역점,제주특별자치도 제주시 서광로13길 9 ,49.09,064-751-5533,호프/통닭,2021-02-23
간이역오라점,제주특별자치도 제주시 서사로 168 ,68.28,064-759-5792,호프/통닭,2021-02-23
간이역정동역점,제주특별자치도 제주시 원노형로 43 ,50.41,064-742-3106,호프/통닭,2021-02-23
간이역주홍점,제주특별자치도 제주시 도남로15길 7 ,41.8,064-759-7171,호프/통닭,2021-02-23
강윤구스시야,제주특별자치도 제주시 화삼북로 135,132.88,064-722-0271,호프/통닭,2021-02-23
강촌숯불닭갈비도남점,제주특별자치도 제주시 도남로 11 ,88.32,064-727-7080,호프/통닭,2021-02-23
강촌숯불닭갈비제주본점,제주특별자치도 제주시 신대로14길 50,79.79,,호프/통닭,2021-02-23
경주댁소주방,제주특별자치도 제주시 진군길 56 ,42.63,064-744-0019,호프/통닭,2021-02-23
경화,제주특별자치도 제주시 만덕로 36-2 ,31.6,,호프/통닭,2021-02-23
고마로포차,제주특별자치도 제주시 고마로 63 ,123,,호프/통닭,2021-02-23
고바,제주특별자치도 제주시 신대로14길 48 ,63.32,064-749-4800,호프/통닭,2021-02-23
고씨회관,제주특별자치도 제주시 신대로14길 49 ,67.6,,호프/통닭,2021-02-23
고씨회관시청점,제주특별자치도 제주시 신성로13길 30 ,73.75,064-757-3887,호프/통닭,2021-02-23
고요남,제주특별자치도 제주시 신설로6길 24,108.78,064-722-5253,호프/통닭,2021-02-23
고치글라,제주특별자치도 제주시 일주동로 366 ,66.42,064-784-1438,호프/통닭,2021-02-23
골드,제주특별자치도 제주시 서광로32길 35-1,117,064-724-4663,호프/통닭,2021-02-23
골뱅이,제주특별자치도 제주시 신성로13길 27 ,157,064-721-1288,호프/통닭,2021-02-23
골뱅이닷컴,제주특별자치도 제주시 고마로 130 ,41.35,064-726-3536,호프/통닭,2021-02-23
곱꼬닭,제주특별자치도 제주시 도남로 44 ,70.08,064-758-8915,호프/통닭,2021-02-23
곱창이야기일도점,제주특별자치도 제주시 연삼로 529 ,37.62,064-702-8292,호프/통닭,2021-02-23
광령치킨,제주특별자치도 제주시 애월읍 광성로 284,70,064-745-3201,호프/통닭,2021-02-23
광양고을빈대떡,제주특별자치도 제주시 중앙로 180-1 ,43.56,064-752-7064,호프/통닭,2021-02-23
