,alltag,contentsid,contentscd,title,address,roadaddress,tag,introduction,readcnt,likecnt,reviewcnt,markcnt,snssharecnt,schedulecnt,visitcnt,evelpt,latitude,longitude,phoneno,sbst,PHOTOSHARECOUNT,cate2cd,cate3cd,imgpath,thumbnailpath
10,"아구찜,해물찜,안심채움,맛있는제주만들기,음식,식당",CNTS_200000000013319,음식점,행복맛집,제주특별자치도 제주시 화북일동 1948-18,제주특별자치도 제주시 진남로6길 32,"아구찜,해물찜,안심채움,맛있는제주만들기,음식,식당",행복맛집은 2015년 호텔신라의 레시피 전수와 리모델링 지원을 통해 재개장한 ‘맛있는 제주만들기’ 8&11호점 식당이다. 화북동 주민센터와 화북종합시장 인근에 자리잡고 있어 현지 주민들의 입소문이 자자하다. ,48,0,0,2,0,0,0,0.0,33.5215751,126.5657613,064-758-6788,,0.0,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/202205/31/fdc77985-586b-4284-a60f-81a4aa14d03a.JPG,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202205/31/35637023-d8e2-42c6-928b-b17f0bac1b9a.JPG
11,"정식,고등어조림,안심채움,맛있는제주만들기,음식,식당",CNTS_200000000013316,음식점,진미네식당,제주특별자치도 제주시 노형동 2612-9,제주특별자치도 제주시 수덕5길 42,"정식,고등어조림,안심채움,맛있는제주만들기,음식,식당","진미네식당은 2014년 호텔신라의 레시피 전수와 리모델링 지원을 통해 재개장한 ‘맛있는 제주만들기’ 6호점 식당이다. 식당의 시그니처 메뉴인 진미정식은 어머니 정성이 들어간 건강식 웰빙 밥상을 컨셉으로, 강된장, 생선구이, 계란말이, 돔베고기 등이 푸짐한 한끼의 식사가 제공된다.",61,0,0,1,0,0,0,0.0,33.4849947,126.474496,064-743-1349,,0.0,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/202205/31/76f56c7f-4cb9-4430-b112-c2ca4f137876.JPG,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202205/31/0168a61d-6ef9-4d7c-bb82-70bfa191e8be.JPG
12,"갈치,고등어,흑돼지,갈치조림,음식,한우구이,갈비,오겹살,삼겹살,항정살,가브리살,돼지구이,공용주차장,화장실",CNTS_000000000001490,음식점,제주맛촌본점,제주특별자치도 제주시 용담3동 1144,제주특별자치도 제주시 서해안로 546,"갈치,고등어,흑돼지,갈치조림,음식,한우구이,갈비,오겹살,삼겹살,항정살,가브리살,돼지구이",흑돼지의 새로운 변신,900,0,0,1,0,0,0,,33.519913,126.49706,064-712-8255,"갈치, 고등어, 흑돼지를 한자리에서 즐길 수 있는 제주맛촌 용담 해안도로 건물 2층에 위치한 ‘제주맛촌’은 흑돼지 전문식당이지만 갈치와 고등어를 재료로 한 메뉴도 함께 판매하고 있다. 두툼한 흑돼지 오겹살을 주문하면 제주의 멜젓이 함께 제공된다. 이곳의 메뉴로는 흑돼지 볶음과 갈치조림등이 있다. 실내에는 테라스 밖으로 바다가 보이고, 자리는 180여 석이 준비되어 있어 단체 인원도 수용 가능하다. 제주공항에서는 차로 10분 거리이고, 근처에는 용담 해안도로를 따라 용두암과 용연다리가 있다.",,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/201910/01/e0d718a7-42a0-469f-979a-a3ecde5e05f1.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201910/01/9635e507-a824-4b36-8095-2b511996f0cb.jpg
13,"찜뻥.흑돼지,안심채움,맛있는제주만들기,음식,식당",CNTS_200000000013317,음식점,해성도뚜리,제주특별자치도 제주시 애월읍 구엄리 1258,제주특별자치도 제주시 애월읍 애월해안로 682,"찜뻥.흑돼지,안심채움,맛있는제주만들기,음식,식당","해성도뚜리는 2015년 호텔신라의 레시피 전수와 리모델링 지원을 통해 재개장한 ‘맛있는 제주만들기’ 9호점 식당이다. '도뚜리'는 돼지를 뜻하는 제주도 방언이며, '해성도뚜리' 식당은 제주에서 경치가 가장 아름답기로 유명한 애월 해안도로변, 올레길 16코스에 위치해 있다.",105,0,0,5,0,0,0,0.0,33.4817673,126.3751438,064-713-6321,,0.0,중식,중식,https://api.cdn.visitjeju.net/photomng/imgpath/202205/31/cc66e29f-f1b2-48ea-8418-c97a982c4f9e.JPG,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202205/31/84cf9999-28b2-4892-aec4-953da3023cd0.JPG
14,"된장찌개,해장국,내장탕,한식,음식,김치찌개,순두부찌개,현금결제,카드결제,화장실,음료대,착한가격 업소",CONT_000000000501428,음식점,현기네식당,제주특별자치도 제주시 봉개동 1829-9,제주특별자치도 제주시 번영로 487,"된장찌개,해장국,내장탕,한식,음식,김치찌개,순두부찌개",저렴한 가격에 칼칼한 맛이 일품인 순두부와 김치찌개를 즐길 수 있는 음식점,1348,1,0,1,0,0,0,,33.4910157,126.5942761,064-722-0722,"집에서 직접 담근 된장으로 된장찌개를 조리하고,
직접 재배한 유기농 채소로 밑반찬을 만들어 원가절감을 실천 중인 착한가격의 음식점이다.",,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/ee95b72a-3b92-4309-b5bb-d02eef59b947.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/14c62fad-ac5b-4f43-b6a8-4222c1d90e41.jpg
15,"횟집,자연산회,참돔정식,회정식,음식,회,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000501336,음식점,운해횟집,제주특별자치도 서귀포시 대포동 2367-1,제주특별자치도 서귀포시 대포로 174,"횟집,자연산회,참돔정식,회정식,음식,회",올레8코스 대포포구 앞에 위치한 회 코스요리 전문점,2802,1,0,9,1,0,0,,33.238829,126.439408,064-738-6000,"포구 앞 수심10미터에서 끌어올린 청정수를 24시간 흘려보내는 유수식 수족관에서 관리한 신선한 횟감, 제주산 생해물로 구성된 푸짐한 밑반찬, 황게게장에서 초장, 김치까지 직접 담근 정성이 가득한 음식을 제공한다. (매일 아침 두연호와 정진호에서 끌어올린 자연산은 미리 확인후 예약)",,일식,일식,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/dc9f6607-64f7-4713-8a95-352554ceaa53.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/54ae4bf1-5f12-4efc-bf8e-1fbac6c57293.jpg
16,"옥돔구이,고등어구이,비빔밥,흑돼지,음식,옥돔,생선구이정식,갈치조림,제주갈치조림,고등어조림,성게미역국,불고기,공용주차장,아주 어려움",CNTS_000000000001463,음식점,생이소리,제주특별자치도 제주시 봉개동 234-32,제주특별자치도 제주시 명림로 231,"옥돔구이,고등어구이,비빔밥,흑돼지,음식,옥돔,생선구이정식,갈치조림,제주갈치조림,고등어조림,성게미역국,불고기",새가 지저귀는 숲 속에서 즐기는 옥돔구이,2109,0,0,5,0,0,0,,33.466843,126.6114,064-753-4567,"맛있는 옥돔구이가 기다리고 있는 곳

‘새의 소리’를 제주 방언으로 표현한 이름을 가진 생이소리는 옥돔구이와 고등어구이를 주로 파는 음식점이다.
대표 메뉴인 옥돔구이정식과 고등어구이정식 외에도 보리 비빔밥, 도토리묵 비빔밥, 돌솥 비빔밥 등
다양한 비빔밥들과 흑돼지불고기와 같은 메뉴들이 있으며, 특히 오전 7시부터 아침식사가 가능하다.",,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/239530fb-3a72-4f8a-b4d0-797c87af30db.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/29808cc8-b58a-470d-b732-e00679fa1ad4.jpg
17,음식,CNTS_200000000013592,음식점,이가,제주특별자치도 제주시 노형동 737,제주특별자치도 제주시 진군1길 17,"음식,안전여행스탬프,식당,흑돼지,돼지고기,양념갈비,김치찌개,양념게장,오겹살",참숯으로 수제양념갈비와 생고기를 숙성하는 돼지고기 전문점,9,0,0,0,0,0,0,0.0,33.4788455,126.4803929,064-747-8592,,0.0,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/202207/06/01ef8a77-1707-4349-9911-87088f65d5d0.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202207/06/6c5b3893-41fa-4fff-bf21-6ed5c0354ac3.jpg
18,"갈비찜,갈비탕,열무국수,불고기,돼지고기,음식,공용주차장",CNTS_000000000001468,음식점,육갑봉,제주특별자치도 제주시 아라2동 3008-5,제주특별자치도 제주시 신설로11길 2-9,"갈비찜,갈비탕,열무국수,불고기,돼지고기,음식",가마솥에 우려낸 진한 사골육수가 담긴 갈비탕,1230,0,0,1,0,0,0,,33.49104,126.544846,064-726-4111,"매콤달콤한 갈비찜과 뚝배기 갈비불고기 등 다양한 돼지고기 요리가 있는 곳

아라동에 위치한 '육갑봉'은 가마솥에 직접 우려낸 육수로 만든 갈비탕을 판매한다.
육갑봉의 대표 메뉴 중 하나인 소고기 갈비찜은 매운맛과 순한 맛 두 가지가 있다.
소갈비와 사리, 그리고 이곳에서 특별히 개발한 소스로 맛을 낸다.
???????이 외에도 뚝배기에서 조리한 갈비 불고기, 열무국수 등의 메뉴가 있다.",,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/f10671a9-e46b-41e7-8a73-1c4b5682c730.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/bc94c1c2-0465-4d6b-ad3a-226224a24de4.jpg
19,"가정식,흑돼지 플레이트,새우 플레이트",CNTS_200000000007132,음식점,밤낮가온,제주특별자치도 제주시 도남동 913-4,제주특별자치도 제주시 도남로 24,"가정식,흑돼지 플레이트,새우 플레이트,음식,가정식카레,돈가스,김치찌개","밤에는 혼술, 낮에는 혼밥을 즐길 수 있는 곳",1397,0,0,5,0,0,0,0.0,33.4978261,126.5256101,010-5631-0317,"낮에는 정성이 가득 담긴 가정식을 맛볼 수 있다.

불고기 백반, 콩나물 불고기, 카레 우동, 간장 새우, 흑돼지 김치찌개 등 폭넓은 메뉴가 있어 기호에 따라 선택가능하다.

벽을 향해 앉는 테이블이 마련되어있고, 식사가 1인 트레이에 정갈하게 차려져 혼밥하기에 좋다.

또 밤에는 혼술하기 좋은 공간으로 변모하며, 흑돼지 플레이트, 새우 플레이트 등 안주로 먹기 좋은 메뉴을 즐길 수 있다.
",0.0,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/201807/02/318eeeb5-ca5f-4d7c-8545-ef6b42319148.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201807/02/2f7f1f9e-0d97-4f27-af39-880437b46d27.jpg
20,"카페,아이스크림,땅콩,커피,음식,우도,빵,아메리카노",CNTS_000000000022453,음식점,바위소리,제주특별자치도 제주시 우도면 연평리 312-1,제주특별자치도 제주시 우도면 우도해안길 1112,"카페,아이스크림,땅콩,커피,음식,우도,빵,아메리카노",소라모양 외관이 인상적인 우도땅콩아이스크림 전문점,617,0,0,0,1,0,0,,33.4976527,126.9690646,010-5381-8821,"?바위소리는 우도에 있는 땅콩아이스크림 전문 카페이다. 꼭 커다란 소라같이 생긴 건물이라서 눈에 띈다. 이곳에서는 우도 땅콩을 이용한 아이스크림, 커피 등을 판매하고 있다. 아이스크림에 땅콩가루를 솔솔 뿌려주는데 엄청 고소하면서도 시원하다. 예쁜 모양의 쿠키로 장식도 해주기 때문에 바다 앞에서 인증샷을 남기는 사람들이 많다.


??",,카페,카페,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/3f0af41f-5531-48bb-a6d4-799f2a300f89.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/65cc5f2d-6d3d-43e8-994c-218018f3e5c2.jpg
21,"휴식/힐링,체험관광,친구",CNTS_200000000007660,음식점,올레산야초,제주특별자치도 제주시 애월읍 유수암리 3040,제주특별자치도 제주시 애월읍 유수암서길 57,"휴식/힐링,체험관광,친구,음식,눈꽃빙수,샐러드,차",제주도 청정자연을 담은 연잎밥 정식,2967,0,0,9,6,0,0,0.0,33.4273607,126.3921659,0507-1431-0801,"제주도의 자연을 담은 밥상을 만날 수 있는 ‘올레산야초’. 100여 가지 약초를 발효하여 만든 효소액을 바탕으로 만든 건강한 상차림을 만날 수 있는 곳이다.

치유의 섬 제주도의 청정자연. 산과 오름에서 채집한 산야초를 바탕으로 3년이 훌쩍 넘는 시간 동안 발효실에서 숙성을 거친 발효 효소액. 발효 숙성실로 들어가면 훅 퍼지는 발효취를 맡을 수 있다. 항아리마다 담은 날짜와 원재료명을 기재하여 철저하게 관리한다.

이러한 과정을 거쳐 만들어낸 효소액과 직접 담은 된장, 간장. 그리고 자연 그대로의 텃밭에서 수확한 재료로 만든 ‘연잎밥 정식’은 올레산야초에서 만날 수 있는 특별한 먹거리이다. 갖은 곡물들과 쌀을 연잎으로 감싸 쪄낸 연잎밥, 효소를 활용한 상큼한 장아찌, 직접 담은 된장으로 맛깔나게 끓여낸 된장찌개와 더불어 촉촉하게 구워낸 떡갈비가 한 상 푸짐하게 제공된다. 자연 그대로의 깔끔한 맛 덕에 찾는 사람들의 호평이 이어진다.

연잎밥 정식은 1인 2만 원으로, 예약 후에 이용할 수 있다. 효소는 정제 후 ‘노꼬메자임’과 ‘노고록자임’의 2가지 종류로 판매되고 있다. 직접 방문 혹은 인터넷 쇼핑몰에서 구매가 가능하다.
",0.0,향토음식,향토음식,https://api.cdn.visitjeju.net/photomng/imgpath/201810/23/c01a454d-6677-4879-8b45-5fde092f4868.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201810/23/c2e817a7-19b5-4655-b811-dc43d7266a60.jpg
22,"토종닭,한방오리,백숙,샤브샤브,음식,오리한마리,오리고기,공용주차장,현금결제,카드결제",CNTS_000000000001284,음식점,원당골,제주특별자치도 제주시 삼양1동 1170,제주특별자치도 제주시 원당로 72,"토종닭,한방오리,백숙,샤브샤브,음식,오리한마리,오리고기",토종닭과 한방 오리를 즐길 수 있는 원당골,989,0,0,1,0,0,0,,33.526814,126.592575,064-725-2525,"?
삼양 바다가 보이는 원당봉 기슭의 샤브샤브 전문점

삼양의 작은 오름인 원당봉 바로 아래쪽에 위치해 있는 ‘원당골’은 샤부샤부 전문점이다.
원당골은 일반 가정집을 개조해 만든 곳으로 간판을 제외하고는 여느 가정집과 다를 것이 없다.

원당골의 메뉴는 단 두 가지로 운영된다. 토종닭 한 마리 메뉴와 한방 오리 한 마리 메뉴이다.
모두 50,000원의 금액으로 맛볼 수 있다. 각각의 백숙과 샤부샤부 그리고 마무리 죽까지 한 세트이다.
온갖 야채가 담긴 육수를 시작으로 수제비와 샤부샤부용 고기, 야채가 먼저 나오고,
한방 재료들과 함께 삶은 백숙이 나온 뒤 마무리로 녹두죽이 나온다.

?????????
????????
원당골의 영업시간은 오전과 오후로 나뉘는데,
오전은 11시 30분부터 오후 3시까지이고 오후 영업시간은 오후 5시부터 오후 9시 30분까지이다.
예약도 가능하니 영업시간에 맞춰 예약하고 간다면 기다림 없이 바로 식사를 시작할 수 있다.

?????????",,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/0f8b594b-3967-4061-9da1-82b2fc086c32.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/998a01c6-2758-4878-9417-b1d521b7d622.jpg
23,음식,CNTS_200000000013594,음식점,우뭇개일번지,제주특별자치도 서귀포시 성산읍 성산리 108-2,제주특별자치도 서귀포시 성산읍 일출로 288,"음식,안전여행스탬프,식당,콩나물해장국,전복죽",부담없는 가격으로 맛있는 한식메뉴를 먹을 수 있는 식당,15,0,0,0,0,0,0,0.0,33.4631283,126.9352404,,,0.0,한식,한식,https://api.cdn.visitjeju.net/photomng/imgpath/202207/06/a1830d30-de9c-4ad9-9996-4abafa47997e.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202207/06/d0c3aacb-268a-4ec6-a2a9-826ecc60060b.jpg
